date,all_complaints,noise_complaints,homeless_complaints
2011-09-13,6634,485,16
2011-09-14,6462,435,9
2011-09-15,6420,437,8
2011-09-16,6307,661,10
2011-09-17,3978,1185,6
2011-09-18,2962,1083,8
2011-09-19,5883,520,5
2011-09-20,6314,510,9
2011-09-21,6174,492,21
2011-09-22,6211,505,8
2011-09-23,6719,674,8
2011-09-24,2725,938,4
2011-09-25,3149,958,3
2011-09-26,6686,464,10
2011-09-27,6706,480,9
2011-09-28,5968,448,7
2011-09-29,6092,531,8
2011-09-30,5169,614,7
2011-10-01,3155,793,4
2011-10-02,2604,820,5
2011-10-03,6315,444,4
2011-10-04,6378,456,14
2011-10-05,5967,508,5
2011-10-06,6242,540,2
2011-10-07,5748,688,6
2011-10-08,3506,1033,6
2011-10-09,2689,1012,10
2011-10-10,3841,693,6
2011-10-11,5965,537,14
2011-10-12,5542,462,5
2011-10-13,5508,375,6
2011-10-14,5956,528,7
2011-10-15,3402,873,2
2011-10-16,2810,856,2
2011-10-17,6138,435,11
2011-10-18,6448,632,4
2011-10-19,6279,441,5
2011-10-20,5764,536,6
2011-10-21,6562,585,6
2011-10-22,4239,908,5
2011-10-23,3578,864,1
2011-10-24,7051,447,8
2011-10-25,7128,443,11
2011-10-26,6867,520,6
2011-10-27,7389,443,2
2011-10-28,8658,537,4
2011-10-30,5640,566,3
2011-10-31,8755,542,2
2011-11-01,8380,480,6
2011-11-02,7405,463,8
2011-11-03,6564,443,10
2011-11-05,4382,704,4
2011-11-06,3533,748,4
2011-11-07,6081,391,7
2011-11-08,5170,517,6
2011-11-09,5724,526,8
2011-11-10,5424,467,8
2011-11-11,5189,497,2
2011-11-12,4277,771,3
2011-11-13,3346,817,3
2011-11-14,6431,483,9
2011-11-15,5765,550,5
2011-11-16,6003,503,7
2011-11-17,6735,423,6
2011-11-18,6995,521,3
2011-11-19,4368,801,2
2011-11-20,3114,820,3
2011-11-21,6767,411,7
2011-11-22,6528,352,6
2011-11-24,2864,674,1
2011-11-25,4258,690,6
2011-11-26,3207,784,3
2011-11-27,2844,718,7
2011-11-28,5705,452,2
2011-11-29,5473,428,10
2011-11-30,6699,407,2
2011-12-01,6929,478,1
2011-12-02,6212,478,1
2011-12-03,4369,791,4
2011-12-04,3077,775,2
2011-12-05,6205,510,7
2011-12-06,6041,404,5
2011-12-07,6053,467,3
2011-12-08,7436,394,3
2011-12-09,6350,541,3
2011-12-10,4136,848,4
2011-12-12,7179,472,5
2011-12-13,6581,289,3
2011-12-14,5805,391,6
2011-12-15,5809,462,8
2011-12-16,5474,567,7
2011-12-17,3911,768,1
2011-12-18,4264,668,2
2011-12-19,6830,381,1
2011-12-20,5819,444,1
2011-12-21,5162,394,1
2011-12-22,4972,465,1
2011-12-23,4256,463,4
2011-12-24,3047,627,1
2011-12-26,3404,429,1
2011-12-27,5601,356,3
2011-12-28,6309,405,5
2011-12-29,7028,503,2
2011-12-30,4599,577,2
2011-12-31,2577,703,2
2012-01-02,3734,452,6
2012-01-03,7832,356,1
2012-01-04,9839,324,1
2012-01-05,7157,343,5
2012-01-06,5959,456,3
2012-01-07,3158,766,1
2012-01-08,2994,667,2
2012-01-09,6468,425,5
2012-01-10,5972,407,5
2012-01-11,5638,403,3
2012-01-12,5630,420,6
2012-01-13,5930,471,2
2012-01-14,4475,714,2
2012-01-16,5814,433,4
2012-01-17,6374,380,2
2012-01-18,6486,395,9
2012-01-19,6809,397,1
2012-01-20,5954,515,2
2012-01-21,4318,698,7
2012-01-22,4076,699,1
2012-01-23,6152,419,2
2012-01-24,5691,464,3
2012-01-25,5535,483,2
2012-01-27,5343,615,4
2012-01-28,3509,788,2
2012-01-29,3171,698,1
2012-01-30,5849,359,5
2012-01-31,5600,406,4
2012-02-01,5451,417,3
2012-02-02,5898,407,7
2012-02-04,3349,740,3
2012-02-06,5457,373,4
