date,stock_deviation
1970-08-31,0.13084197044372559
1970-09-01,-0.11932456706251315
1970-09-02,0.14191786678774143
1970-09-03,0.11553972746644803
1970-09-04,0.05944470954792891
1970-09-08,0.07838075075830808
1970-09-09,-0.056853716926914544
1970-09-10,-0.2556880787014961
1970-09-11,0.014874451394591759
1970-09-14,-0.11834116333297295
1970-09-15,-0.14027119321482573
1970-09-16,-0.0748192199638904
1970-09-17,-0.16470884744610004
1970-09-18,0.15312299983841982
1970-09-21,-0.09542495970215015
1970-09-22,-0.1667657175234396
1970-09-23,0.07265274758849749
1970-09-24,0.13811567745038467
1970-09-25,-0.08109807968139648
1970-09-28,-0.023603120552641244
1970-09-29,-0.08909786226493921
1970-09-30,0.18249106460384112
1970-10-01,0.10327646881341934
1970-10-02,0.2953610968376914
