date,stock_deviation,all_complaints,noise_complaints,homeless_complaints,tmin,tmax,tavg,prcp
2010-12-09,-193.82916293437302,7740,339,3,-4.633333333333334,-0.3666666666666667,,False
2010-12-10,902.7306214403217,6973,473,3,-5.7333333333333325,3.6666666666666665,,False
2010-12-13,292.87679731662496,7424,401,3,-5.566666666666666,10.166666666666666,,True
2010-12-14,802.8265076610552,8765,371,5,-7.033333333333334,-4.266666666666667,,True
2010-12-15,-1.908427379181376,8642,326,1,-6.333333333333332,-1.8666666666666665,,False
2010-12-16,593.1157793910534,7933,382,1,-4.233333333333333,-0.7333333333333334,,False
2010-12-17,-2139.7069697658007,6802,433,2,-4.633333333333334,3.1333333333333333,,False
2010-12-20,-1758.514886225283,6960,384,9,-2.9666666666666663,3.533333333333333,,False
2010-12-21,1885.9161488632672,6983,356,1,-1.5,4.8,,False
2010-12-22,2138.523000692381,6317,378,3,-1.5,4.233333333333333,,False
2010-12-23,542.6187850759597,5687,367,4,-0.5666666666666668,2.433333333333333,,False
2010-12-28,-1317.898657685655,5154,124,1,-4.233333333333333,3.6666666666666665,,False
2010-12-29,-3925.654079011773,6159,244,1,-0.5666666666666668,3.5,,False
2010-12-30,-850.9915707022737,5731,329,1,-3.5333333333333337,4.433333333333334,,False
2010-12-31,-852.825666116958,4215,457,2,1.3,6.466666666666666,,False
2011-01-03,-2727.7982586441362,7148,397,5,-1.8333333333333333,2.566666666666667,,False
2011-01-04,-2342.5514432066993,6655,332,4,-1.1,4.433333333333334,,False
2011-01-05,-2424.6169318352186,6709,373,1,-1.3,4.433333333333334,,False
2011-01-06,-1761.408297092421,6336,387,1,-3.333333333333333,0.9333333333333336,,False
2011-01-07,-875.5828882840871,5394,407,4,-3.1666666666666665,1.8666666666666665,,True
2011-01-10,-3346.520418244501,7415,341,5,-3.7,2.2333333333333334,,False
2011-01-11,-788.3943555277801,6478,304,4,-4.433333333333334,-0.2,,True
2011-01-12,-845.5797121664508,6050,337,2,-4.033333333333334,0.1666666666666667,,True
2011-01-13,-959.1035598563467,7118,347,1,-7.2333333333333325,-0.5666666666666668,,False
2011-01-14,-4597.328842279705,6714,410,3,-7.766666666666667,-0.7333333333333334,,False
2011-01-19,-197.89115632556786,6923,372,5,1.8666666666666665,5.4,,True
2011-01-20,-728.6761739100475,6452,401,5,-0.7333333333333334,2.2333333333333334,,False
2011-01-21,3379.776537350088,5893,430,2,-7.033333333333332,0.5666666666666668,,True
2011-01-24,-1678.3836976714663,9289,351,4,-13.866666666666667,-3.8666666666666663,,False
2011-01-25,-1881.153034393792,8207,399,1,-4.033333333333334,2.6,,True
2011-01-26,-385.44842717578285,6142,334,6,-1.8666666666666665,1.3,,True
2011-01-27,-1319.0031519216427,4782,319,1,-1.6666666666666667,2.9666666666666663,,True
2011-01-28,4540.039470600983,6716,457,1,-2.766666666666667,1.8666666666666665,,True
2011-01-31,1818.785636247456,7131,400,3,-5.199999999999998,0.0,,False
2011-02-01,-1977.4486846588845,6426,366,3,-3.7,-0.3666666666666667,,True
2011-02-02,386.6663787581056,6934,308,3,-2.6,4.066666666666666,,True
2011-02-03,-2625.361268631881,7470,336,3,-3.8666666666666667,1.4666666666666668,,False
2011-02-04,-680.4017841219903,6725,424,3,-4.833333333333333,1.5,,False
2011-02-07,-2318.1195467871007,6930,369,6,0.3666666666666668,6.2666666666666675,,True
2011-02-08,-724.4690528153004,7940,269,2,-7.2333333333333325,5.166666666666667,,True
2011-02-09,-336.331307295608,8183,320,3,-9.066666666666668,-1.5,,False
